post_id,platform,content_type,topic,language,region,post_datetime,hashtags,views,likes,comments,shares,engagement_rate,sentiment_score,is_viral,text,predicted_sentiment,engagement_level,likes_per_view,comments_per_view,shares_per_view
SM_100013,YouTube Shorts,video,Technology,ur,India,2024-05-07 00:00:00,#viral #trending #music #tech,3782438,171929,9697,45759,0.0601,0.55,1,This is a amazing and exciting Technology post on YouTube Shorts in video format,Positive,high,0.04545453343728742,0.0025636897250689303,0.012097749626629802
SM_100014,TikTok,text,Politics,es,Pakistan,2024-09-11 00:00:00,#trending #funny #fyp #news,1574952,196869,37070,92094,0.207,0.196,0,This is a amazing and exciting Politics post on TikTok in text format,Positive,high,0.1249999206325522,0.023537210316752308,0.058474125894550505
SM_100015,TikTok,video,Technology,en,Brazil,2024-01-29 00:00:00,#tech #trending #funny #music,314118,11634,29132,40398,0.2584,0.042,0,This is a amazing and exciting Technology post on TikTok in video format,Positive,high,0.03703691912937453,0.09274192264714964,0.12860731124191788
SM_100016,YouTube Shorts,text,Politics,ur,Pakistan,2024-09-15 00:00:00,#news #ai #viral,8212785,483105,24281,23248,0.0646,-0.457,1,This is a amazing and exciting Politics post on YouTube Shorts in text format,Positive,high,0.05882352224933171,0.0029564876035976097,0.0028307081178055777
SM_100017,Instagram,image,Lifestyle,hi,India,2024-03-15 00:00:00,#ai #viral #funny #trending,271672,9368,21276,12186,0.1577,-0.438,0,This is a average and okay Lifestyle post on Instagram in image format,Positive,high,0.03448263169324887,0.0783147386748039,0.04485539600917279
SM_100018,YouTube Shorts,video,Technology,ur,Pakistan,2024-03-02 00:00:00,#ai #tech,7635853,401887,39981,38045,0.0628,-0.669,1,This is a amazing and exciting Technology post on YouTube Shorts in video format,Positive,high,0.05263157205467784,0.005235956580626084,0.004982415850276865
SM_100019,Instagram,text,Politics,es,Pakistan,2024-09-03 00:00:00,#trending #news,1374352,49084,40779,2569,0.0673,-0.21,0,This is a amazing and exciting Politics post on Instagram in text format,Positive,high,0.03571425972803203,0.029671416295522328,0.0018692432002549563
SM_100020,YouTube Shorts,carousel,Sports,hi,India,2024-12-16 00:00:00,#music #trending,3078941,133867,48195,5259,0.0608,0.414,1,This is a amazing and exciting Sports post on YouTube Shorts in carousel format,Positive,high,0.04347824674839604,0.01565310421566889,0.0017080542601971716
SM_100021,TikTok,carousel,Lifestyle,fr,Pakistan,2024-01-21 00:00:00,#viral #trending,197204,14086,12671,38661,0.3317,-0.283,0,This is a amazing and exciting Lifestyle post on TikTok in carousel format,Positive,high,0.07142820922390405,0.06425293476331737,0.19604472503232676
SM_100022,Instagram,image,Lifestyle,fr,Brazil,2024-05-15 00:00:00,#ai #news,1255056,104588,22667,8393,0.1081,-0.101,0,This is a amazing and exciting Lifestyle post on Instagram in image format,Positive,high,0.0833332669352866,0.018060534302426105,0.00668734567433989
SM_100023,TikTok,image,Education,fr,UK,2024-02-27 00:00:00,#tech #news #music,8806000,314500,23604,35223,0.0424,0.332,1,This is a amazing and exciting Education post on TikTok in image format,Positive,high,0.03571428165860985,0.002680444846644919,0.00399988598684011
SM_100024,YouTube Shorts,carousel,Education,ur,UK,2024-08-12 00:00:00,#tech #fyp,3345769,477967,10970,24539,0.1535,-0.056,1,This is a amazing and exciting Education post on YouTube Shorts in carousel format,Positive,high,0.14285710015930564,0.0032787669206191697,0.0073343355938991625
SM_100025,Instagram,text,Education,en,India,2024-05-11 00:00:00,#tech #funny #ai #music,2628472,375496,8115,79310,0.1761,0.522,1,This is a amazing and exciting Education post on Instagram in text format,Positive,high,0.1428570885072816,0.0030873438684742055,0.03017341247180397
SM_100026,TikTok,text,Sports,fr,US,2024-01-08 00:00:00,#ai #trending #funny #fyp,1285778,98906,6915,90983,0.1531,0.421,0,This is a amazing and exciting Sports post on TikTok in text format,Positive,high,0.07692301709702834,0.005378062637513912,0.07076099391886163
SM_100027,YouTube Shorts,carousel,Technology,fr,India,2024-12-10 00:00:00,#news #viral,5038587,219069,23424,50637,0.0582,-0.937,1,This is a amazing and exciting Technology post on YouTube Shorts in carousel format,Positive,high,0.04347825224050865,0.004648921483558489,0.010049839359757139
SM_100028,YouTube Shorts,image,Politics,es,Pakistan,2024-09-03 00:00:00,#news #funny #music,1989200,248650,41528,54269,0.1732,0.815,0,This is a amazing and exciting Politics post on YouTube Shorts in image format,Positive,high,0.1249999371606992,0.020876723870538974,0.02728180812295992
SM_100029,Instagram,video,Lifestyle,fr,US,2024-10-13 00:00:00,#ai #funny #viral,2013582,105978,6379,56045,0.0836,0.511,1,This is a amazing and exciting Lifestyle post on Instagram in video format,Positive,high,0.05263155280909702,0.003167984632369264,0.027833468995318297
SM_100030,YouTube Shorts,carousel,Lifestyle,ur,Pakistan,2024-01-29 00:00:00,#music #funny #tech #trending #fyp,3794977,164999,16203,75451,0.0676,-0.678,1,This is a amazing and exciting Lifestyle post on YouTube Shorts in carousel format,Positive,high,0.043478249412776566,0.004269589968637499,0.019881801686333887
SM_100031,Instagram,image,Sports,en,UK,2024-06-24 00:00:00,#trending #viral #tech #ai,1266865,43685,43694,64045,0.1195,-0.789,0,This is a amazing and exciting Sports post on Instagram in image format,Positive,high,0.034482731401742565,0.03448983554693235,0.05055388651996344
SM_100032,Instagram,text,Entertainment,ur,UK,2024-10-24 00:00:00,#tech #ai,11719656,488319,29728,69164,0.0501,0.785,1,This is a amazing and exciting Entertainment post on Instagram in text format,Positive,high,0.04166666311138628,0.002536593007798778,0.00590153790337038
SM_100033,Instagram,video,Education,en,US,2024-11-21 00:00:00,#fyp #trending,4131162,153006,18052,26106,0.0477,0.792,1,This is a amazing and exciting Education post on Instagram in video format,Positive,high,0.037037028071756066,0.004369713806983651,0.006319285876640549
SM_100034,Instagram,carousel,Education,en,UK,2024-05-07 00:00:00,#tech #ai #music,1286498,44362,23781,30081,0.0763,0.295,0,This is a amazing and exciting Education post on Instagram in carousel format,Positive,high,0.03448273181712539,0.018485051290362448,0.023382062481198975
SM_100035,TikTok,image,Entertainment,es,India,2024-01-01 00:00:00,#viral #fyp #funny #music,965636,137948,27256,55017,0.2281,-0.986,0,This is a amazing and exciting Entertainment post on TikTok in image format,Positive,high,0.14285699491630913,0.028225927548343736,0.0569748259439106
SM_100036,Instagram,video,Entertainment,fr,UK,2024-11-10 00:00:00,#ai #trending #music #viral #news,198531,22059,5535,94857,0.6168,0.385,0,This is a amazing and exciting Entertainment post on Instagram in video format,Positive,high,0.11111055144762558,0.02787963653214595,0.47779199323031046
SM_100037,YouTube Shorts,video,Lifestyle,hi,UK,2024-09-22 00:00:00,#news #ai,354770,13645,668,34767,0.1383,-0.562,0,This is a amazing and exciting Lifestyle post on YouTube Shorts in video format,Positive,high,0.03846143004924303,0.001882904747005815,0.09799842715441792
SM_100038,Instagram,video,Lifestyle,ur,Brazil,2024-04-25 00:00:00,#viral #trending #fyp,1654560,68940,46581,39354,0.0936,-0.506,0,This is a amazing and exciting Lifestyle post on Instagram in video format,Positive,high,0.04166664148375309,0.02815308713308243,0.023785161139420065
SM_100039,Instagram,image,Politics,en,Pakistan,2024-03-16 00:00:00,#news #funny,1373778,65418,44422,89475,0.1451,-0.704,0,This is a amazing and exciting Politics post on Instagram in image format,Positive,high,0.04761901295623241,0.03233562312424342,0.06513056321286029
SM_100040,TikTok,text,Technology,fr,US,2024-03-07 00:00:00,#funny #tech #fyp #music #ai,1542306,257051,27733,26737,0.202,0.005,0,This is a amazing and exciting Technology post on TikTok in text format,Positive,high,0.16666655860344276,0.017981504330849826,0.0173357185048113
SM_100041,YouTube Shorts,text,Technology,fr,Brazil,2024-09-22 00:00:00,#ai #trending #funny #music,1872125,374425,859,90085,0.2486,0.269,0,This is a amazing and exciting Technology post on YouTube Shorts in text format,Positive,high,0.19999989316958366,0.0004588366381322625,0.04811909027490671
SM_100042,TikTok,video,Lifestyle,en,India,2024-03-06 00:00:00,#tech #news,1778890,177889,21561,50860,0.1407,-0.516,0,This is a amazing and exciting Lifestyle post on TikTok in video format,Positive,high,0.09999994378520101,0.012120472811431391,0.02859084676913875
SM_100043,TikTok,text,Sports,fr,US,2024-06-11 00:00:00,#ai #trending #news #viral,705670,70567,32975,12689,0.1647,-0.264,0,This is a amazing and exciting Sports post on TikTok in text format,Positive,high,0.09999985829090327,0.04672857464739234,0.017981467284329384
SM_100044,X,carousel,Technology,ur,UK,2024-03-26 00:00:00,#news #funny #music #ai #viral,11580374,445399,40550,65734,0.0476,0.072,1,This is a amazing and exciting Technology post on X in carousel format,Positive,high,0.038461535140269634,0.0035016137214900207,0.005676327407359434
SM_100045,X,video,Education,en,UK,2024-01-17 00:00:00,#news #music #ai,4457271,342867,22676,25185,0.0877,-0.358,1,This is a amazing and exciting Education post on X in video format,Positive,high,0.07692305966519432,0.005087416697926445,0.005650317054916101
SM_100046,TikTok,text,Technology,en,UK,2024-06-03 00:00:00,#tech #funny #ai,1242312,51763,15713,91907,0.1283,-0.348,0,This is a amazing and exciting Technology post on TikTok in text format,Positive,high,0.04166663312707828,0.012648181255448506,0.07398055079516998
SM_100047,YouTube Shorts,carousel,Technology,fr,India,2024-04-05 00:00:00,#tech #music #news #ai,2590881,112647,6551,34755,0.0594,-0.303,1,This is a amazing and exciting Technology post on YouTube Shorts in carousel format,Positive,high,0.043478244088306604,0.0025284825785195928,0.013414350788650352
SM_100048,TikTok,carousel,Politics,en,US,2024-01-20 00:00:00,#funny #news,2302930,460586,18232,8681,0.2117,-0.205,1,This is a amazing and exciting Politics post on TikTok in carousel format,Positive,high,0.19999991315415008,0.007916867678623459,0.0037695441157377272
SM_100049,TikTok,video,Technology,ur,US,2024-02-14 00:00:00,#funny #viral #trending #ai #tech,1098930,219786,35158,11112,0.2421,0.351,0,This is a amazing and exciting Technology post on TikTok in video format,Positive,high,0.1999998180049521,0.03199290947293324,0.0101116448621433
SM_100050,X,carousel,Entertainment,hi,Brazil,2024-04-20 00:00:00,#fyp #news #tech #ai,6537608,466972,39389,47255,0.0847,-0.484,1,This is a amazing and exciting Entertainment post on X in carousel format,Positive,high,0.07142856050277709,0.0060249855872383925,0.0072281777634606165
SM_100051,YouTube Shorts,image,Education,ur,US,2024-11-12 00:00:00,#funny #ai #tech #news,8963523,309087,31070,90736,0.0481,0.033,1,This is a amazing and exciting Education post on YouTube Shorts in image format,Positive,high,0.03448275477368053,0.0034662706319523438,0.010122804379170514
SM_100052,X,video,Lifestyle,fr,US,2024-04-17 00:00:00,#news #funny #fyp,7474320,373716,2054,31617,0.0545,0.931,1,This is a amazing and exciting Lifestyle post on X in video format,Positive,high,0.04999999331042913,0.0002748075711492723,0.0042300832410061065
SM_100053,TikTok,image,Sports,hi,Brazil,2024-07-03 00:00:00,#trending #viral,7645752,283176,29860,61435,0.049,-0.322,1,This is a amazing and exciting Sports post on TikTok in image format,Positive,high,0.037037032192905,0.003905436129050991,0.008035179791970784
SM_100054,TikTok,video,Politics,es,Pakistan,2024-01-30 00:00:00,#trending #fyp #tech,7602040,380102,42647,15152,0.0576,0.794,1,This is a amazing and exciting Politics post on TikTok in video format,Positive,high,0.04999999342281895,0.005609940804055122,0.001993148945131972
SM_100055,X,text,Entertainment,es,India,2024-02-27 00:00:00,#trending #news #fyp #tech #ai,95925,6395,12188,29300,0.4992,0.871,0,This is a average and okay Entertainment post on X in text format,Positive,medium,0.06666597168650835,0.1270562725434189,0.305443779580093
SM_100056,TikTok,image,Entertainment,ur,Brazil,2024-01-07 00:00:00,#trending #ai #fyp,6426792,267783,42410,53352,0.0566,0.161,1,This is a amazing and exciting Entertainment post on TikTok in image format,Positive,high,0.04166666018339162,0.006598936670280185,0.008301496562904702
SM_100057,X,carousel,Sports,hi,UK,2024-11-06 00:00:00,#news #ai #fyp #viral,2718149,388307,2562,38361,0.1579,0.947,1,This is a amazing and exciting Sports post on X in carousel format,Positive,high,0.14285709030038812,0.0009425528392472822,0.014112907676176812
SM_100058,YouTube Shorts,carousel,Lifestyle,hi,UK,2024-09-19 00:00:00,#music #news,10159886,461813,46980,21358,0.0522,-0.029,1,This is a amazing and exciting Lifestyle post on YouTube Shorts in carousel format,Positive,high,0.04545454098062311,0.0046240671771251,0.002102188734973135
SM_100059,YouTube Shorts,video,Politics,hi,UK,2024-02-19 00:00:00,#funny #trending,1286430,257286,46765,94180,0.3096,-0.964,0,This is a amazing and exciting Politics post on YouTube Shorts in video format,Positive,high,0.19999984453110972,0.036352513271213145,0.07321030043585704
SM_100060,X,image,Technology,ur,India,2024-09-10 00:00:00,#news #funny #tech #ai,9902368,353656,21300,3988,0.0383,0.299,1,This is a amazing and exciting Technology post on X in image format,Positive,high,0.03571428210764515,0.0021510004323207913,0.0004027319119293575
SM_100061,X,carousel,Entertainment,ur,US,2024-09-14 00:00:00,#music #tech #trending,2197650,439530,33991,86417,0.2548,0.085,1,This is a amazing and exciting Entertainment post on X in carousel format,Positive,high,0.19999990899373923,0.015466969050135804,0.039322440187272684
SM_100062,TikTok,video,Education,en,India,2024-09-19 00:00:00,#viral #trending,2903850,107550,40823,45526,0.0668,-0.499,1,This is a amazing and exciting Education post on TikTok in video format,Positive,high,0.037037024282581994,0.014058228194215198,0.015677801650291284
SM_100063,Instagram,text,Technology,fr,India,2024-06-14 00:00:00,#funny #ai #news #music,1980177,116481,14378,47334,0.09,-0.027,0,This is a amazing and exciting Technology post on Instagram in text format,Positive,high,0.058823499705582025,0.007260963408340058,0.023903911668546968
SM_100064,Instagram,carousel,Entertainment,fr,India,2024-12-13 00:00:00,#tech #fyp #viral,2395266,399211,19743,30747,0.1877,-0.3,1,This is a amazing and exciting Entertainment post on Instagram in carousel format,Positive,high,0.16666659708500137,0.008242504906551127,0.01283656477545092
SM_100065,TikTok,carousel,Politics,fr,India,2024-10-08 00:00:00,#funny #viral #trending #tech #news,3241188,360132,39795,5601,0.1251,-0.54,1,This is a amazing and exciting Politics post on TikTok in carousel format,Positive,high,0.11111107683013857,0.012277901720634001,0.0017280695448491279
SM_100066,TikTok,video,Lifestyle,en,US,2024-07-16 00:00:00,#funny #ai,1440005,205715,45719,56836,0.2141,0.537,0,This is a amazing and exciting Lifestyle post on TikTok in video format,Positive,high,0.14285704365120702,0.031749173267333605,0.03946927998911116
SM_100067,TikTok,image,Education,ur,Pakistan,2024-07-13 00:00:00,#music #funny,1909494,106083,8213,56492,0.0894,0.83,0,This is a amazing and exciting Education post on TikTok in image format,Positive,high,0.055555526461184765,0.0043011372116711485,0.029584785506115492
SM_100068,Instagram,text,Education,en,Pakistan,2024-04-20 00:00:00,#viral #trending #music #funny,1605366,178374,32640,63209,0.1708,0.857,0,This is a amazing and exciting Education post on Instagram in text format,Positive,high,0.11111104189883061,0.02033179951998515,0.03937355134371144
SM_100069,TikTok,image,Lifestyle,hi,India,2024-05-01 00:00:00,#fyp #ai #viral #tech #trending,2512972,358996,306,45237,0.161,0.961,1,This is a amazing and exciting Lifestyle post on TikTok in image format,Positive,high,0.14285708600928065,0.00012176812086719595,0.0180013872015338
SM_100070,Instagram,video,Education,es,Brazil,2024-10-29 00:00:00,#trending #music #viral #tech,3102975,124119,195,10493,0.0434,-0.618,1,This is a amazing and exciting Education post on Instagram in video format,Positive,high,0.03999998710914941,6.284289662569095e-05,0.003381592380991667
SM_100071,Instagram,text,Politics,en,Pakistan,2024-07-22 00:00:00,#viral #fyp #news #music,5263732,181508,19783,26642,0.0433,-0.211,1,This is a amazing and exciting Politics post on Instagram in text format,Positive,high,0.03448275206968134,0.003758359324076658,0.005061426937878498
SM_100072,YouTube Shorts,text,Politics,en,Pakistan,2024-06-06 00:00:00,#viral #funny #news #music #fyp,11659452,416409,574,51886,0.0402,-0.582,1,This is a amazing and exciting Politics post on YouTube Shorts in text format,Positive,high,0.03571428265116725,4.923043988427244e-05,0.004450123003197491
SM_100073,X,video,Entertainment,hi,US,2024-03-04 00:00:00,#tech #viral #ai #news,24684,4114,11098,18071,1.3484,-0.492,0,This is a average and okay Entertainment post on X in video format,Positive,medium,0.16665991492809398,0.44958476807778003,0.732064006481669
SM_100074,Instagram,image,Technology,ur,US,2024-06-02 00:00:00,#trending #funny,227409,10829,34182,45018,0.3959,0.697,0,This is a amazing and exciting Technology post on Instagram in image format,Positive,high,0.04761883822171408,0.1503100127522976,0.19795963238204126
SM_100075,X,video,Lifestyle,ur,Pakistan,2024-09-25 00:00:00,#ai #fyp,1483496,105964,12538,54749,0.1168,0.619,0,This is a amazing and exciting Lifestyle post on X in video format,Positive,high,0.07142852327979092,0.008451651739100247,0.03690536617195721
SM_100076,YouTube Shorts,carousel,Politics,fr,US,2024-06-21 00:00:00,#music #news #fyp,4002854,235462,29597,10648,0.0689,-0.837,1,This is a amazing and exciting Politics post on YouTube Shorts in carousel format,Positive,high,0.05882351471637119,0.007393972552090945,0.0026601013526595394
SM_100077,X,video,Entertainment,es,India,2024-07-03 00:00:00,#ai #music #trending #tech,5971440,248810,24381,70317,0.0575,0.3,1,This is a amazing and exciting Entertainment post on X in video format,Positive,high,0.04166665968900974,0.004082934085759199,0.01177554965376029
SM_100078,TikTok,carousel,Politics,en,Pakistan,2024-03-15 00:00:00,#music #funny,4840182,268899,40946,70032,0.0785,0.78,1,This is a amazing and exciting Politics post on TikTok in carousel format,Positive,high,0.05555554407756897,0.008459597498689615,0.014468874420657236
SM_100079,Instagram,carousel,Sports,fr,Brazil,2024-07-27 00:00:00,#trending #funny,2694492,449082,13408,32098,0.1836,-0.123,1,This is a amazing and exciting Sports post on Instagram in carousel format,Positive,high,0.1666666048121112,0.004976075276499141,0.011912445124184773
SM_100080,YouTube Shorts,carousel,Technology,ur,Pakistan,2024-09-12 00:00:00,#music #ai #trending #fyp #viral,3249012,124962,33626,93849,0.0777,0.182,1,This is a amazing and exciting Technology post on YouTube Shorts in carousel format,Positive,high,0.03846152662362385,0.010349604633776472,0.02888538765465081
SM_100081,Instagram,carousel,Lifestyle,ur,US,2024-08-26 00:00:00,#viral #music #ai #trending,4499770,449977,31029,70314,0.1225,-0.393,1,This is a amazing and exciting Lifestyle post on Instagram in carousel format,Positive,high,0.09999997777664686,0.006895684247042794,0.015626128529651843
SM_100082,Instagram,image,Education,ur,Pakistan,2024-08-05 00:00:00,#music #ai,2043270,408654,2496,92773,0.2466,0.656,1,This is a amazing and exciting Education post on Instagram in image format,Positive,high,0.1999999021177318,0.0012215707069693643,0.04540415833239937
SM_100083,YouTube Shorts,video,Lifestyle,hi,UK,2024-01-25 00:00:00,#news #tech,2263959,251551,3056,48748,0.134,-0.085,1,This is a amazing and exciting Lifestyle post on YouTube Shorts in video format,Positive,high,0.11111106203289811,0.0013498471704447075,0.02153218254739483
SM_100084,X,text,Lifestyle,hi,Brazil,2024-09-02 00:00:00,#ai #funny #trending,10736088,447337,881,58336,0.0472,-0.177,1,This is a amazing and exciting Lifestyle post on X in text format,Positive,high,0.04166666278567549,8.205967741139255e-05,0.0054336360289114595
SM_100085,X,text,Lifestyle,es,Pakistan,2024-07-14 00:00:00,#funny #trending #news #ai #fyp,5085840,211910,39739,72616,0.0638,-0.735,1,This is a amazing and exciting Lifestyle post on X in text format,Positive,high,0.0416666584739869,0.007813653631719906,0.01427807121771994
SM_100086,Instagram,carousel,Entertainment,fr,Brazil,2024-10-01 00:00:00,#funny #tech,5380643,233941,17024,83614,0.0622,0.59,1,This is a amazing and exciting Entertainment post on Instagram in carousel format,Positive,high,0.043478252789071345,0.00316393353658038,0.015539775536162585
SM_100087,Instagram,image,Entertainment,en,UK,2024-03-24 00:00:00,#tech #music #ai,9314838,344994,14103,28252,0.0416,-0.498,1,This is a amazing and exciting Entertainment post on Instagram in image format,Positive,high,0.037037033060904216,0.0015140358303562735,0.003033010017671803
SM_100088,YouTube Shorts,image,Sports,fr,Pakistan,2024-09-15 00:00:00,#viral #fyp #trending #music #tech,872559,32317,8313,5950,0.0534,-0.143,0,This is a amazing and exciting Sports post on YouTube Shorts in image format,Positive,high,0.03703699459062987,0.009527138534885854,0.006819015311267993
SM_100089,X,text,Lifestyle,fr,Pakistan,2024-08-14 00:00:00,#music #ai #tech #funny,501675,100335,9209,66618,0.3511,-0.115,0,This is a amazing and exciting Lifestyle post on X in text format,Positive,high,0.19999960133632066,0.01835646911552476,0.13279088495363542
SM_100090,TikTok,image,Technology,en,US,2024-04-12 00:00:00,#fyp #funny #ai #music,3546940,177347,7810,5238,0.0537,-0.634,1,This is a amazing and exciting Technology post on TikTok in image format,Positive,high,0.04999998590334601,0.0022018973532404403,0.0014767654719940366
SM_100091,X,video,Entertainment,hi,US,2024-07-14 00:00:00,#fyp #ai #viral #trending #funny,2065008,187728,49017,3344,0.1163,0.314,1,This is a amazing and exciting Entertainment post on X in video format,Positive,high,0.09090904688550994,0.023736942550855712,0.0016193634022902564
SM_100092,X,video,Politics,es,Pakistan,2024-02-11 00:00:00,#ai #funny #trending #tech #viral,119448,17064,47898,59639,1.0431,-0.505,0,This is a amazing and exciting Politics post on X in video format,Positive,high,0.14285594688946748,0.40099121800935966,0.4992842133462817
SM_100093,X,carousel,Entertainment,en,India,2024-01-05 00:00:00,#ai #music #fyp #news,1750190,67315,3511,13285,0.0481,-0.971,0,This is a amazing and exciting Entertainment post on X in carousel format,Positive,high,0.03846151648591497,0.002006066766427207,0.0075906001116449575
SM_100094,TikTok,text,Education,fr,US,2024-09-30 00:00:00,#tech #news #music #fyp,8639395,454705,9440,54341,0.06,-0.919,1,This is a amazing and exciting Education post on TikTok in text format,Positive,high,0.05263157285532461,0.0010926689782480164,0.006289907303705027
SM_100095,Instagram,text,Entertainment,es,Brazil,2024-06-01 00:00:00,#news #fyp #music,4403673,489297,13250,60404,0.1278,-0.052,1,This is a amazing and exciting Entertainment post on Instagram in text format,Positive,high,0.11111108587965413,0.0030088512455735826,0.01371672835000956
SM_100096,YouTube Shorts,carousel,Lifestyle,en,UK,2024-07-05 00:00:00,#fyp #music #funny,1919464,239933,35252,94759,0.1927,-0.654,0,This is a amazing and exciting Lifestyle post on YouTube Shorts in carousel format,Positive,high,0.12499993487768728,0.018365534146233455,0.04936740185416249
SM_100097,TikTok,image,Technology,fr,Pakistan,2024-03-29 00:00:00,#ai #viral #news,828814,59201,37225,26647,0.1485,0.898,0,This is a amazing and exciting Technology post on TikTok in image format,Positive,high,0.07142848524700929,0.04491352111146637,0.032150721210402806
SM_100098,Instagram,carousel,Entertainment,fr,US,2024-09-28 00:00:00,#news #tech #fyp #funny #music,5034722,359623,2854,40159,0.08,0.252,1,This is a amazing and exciting Entertainment post on Instagram in carousel format,Positive,high,0.0714285572413815,0.0005668633607052463,0.007976407043644705
SM_100099,Instagram,video,Politics,fr,Pakistan,2024-06-19 00:00:00,#viral #trending #ai #music,10165036,363037,9828,60161,0.0426,0.317,1,This is a amazing and exciting Politics post on Instagram in video format,Positive,high,0.03571428220084196,0.0009668435048490232,0.005918424104112951
SM_100100,YouTube Shorts,carousel,Sports,fr,Pakistan,2024-03-02 00:00:00,#fyp #trending,7958540,397927,27668,51992,0.06,0.285,1,This is a amazing and exciting Sports post on YouTube Shorts in carousel format,Positive,high,0.049999993717441425,0.0034765166127811616,0.0065328557081002665
SM_100101,X,video,Politics,en,UK,2024-06-26 00:00:00,#ai #news #tech #music #fyp,2275296,94804,49120,91008,0.1033,0.151,1,This is a amazing and exciting Politics post on X in video format,Positive,high,0.041666648354039056,0.02158839043869877,0.039998294728116814
SM_100102,YouTube Shorts,video,Lifestyle,es,India,2024-05-02 00:00:00,#music #funny #trending #fyp,2328425,465685,11943,35196,0.2202,-0.083,1,This is a amazing and exciting Lifestyle post on YouTube Shorts in video format,Positive,high,0.19999991410506496,0.005129216045517444,0.015115790667171728
SM_100103,Instagram,video,Technology,es,Pakistan,2024-11-14 00:00:00,#viral #trending #news,1816430,363286,28079,97857,0.2693,0.303,0,This is a amazing and exciting Technology post on Instagram in video format,Positive,high,0.1999998898939734,0.015458335604270132,0.0538732272241555
SM_100104,Instagram,text,Education,fr,US,2024-06-11 00:00:00,#ai #viral #trending #tech,1412462,83086,24112,20765,0.0906,-0.571,0,This is a amazing and exciting Education post on Instagram in text format,Positive,high,0.05882348776569723,0.0170708896445429,0.014701270050967706
